employee_number,first_name,last_name,ppsn_masked,department,job_title,pay_frequency,salary_type,annual_salary,hourly_rate,standard_hours,prsi_class,pension_scheme,pension_ee_percent,pension_er_percent,employment_start_date,employment_end_date,tax_basis,annual_tax_credits,annual_srcop,usc_status,lpt_annual,benefits
E0129,Niamh,Quinn,•••••01I,Marketing,Content Specialist,MONTHLY,SALARY,43600.00,,,A,,,,2020-02-24,,CUMULATIVE,4000.00,44000.00,ORDINARY,495.00,MEDICAL_INSURANCE
E0130,Declan,Keane,•••••21C,Management,Head of Department,MONTHLY,SALARY,162200.00,,,A,PRSA,0.0600,0.0300,2017-06-06,,CUMULATIVE,5000.00,44000.00,ORDINARY,0.00,
E0131,Liam,Nowak,•••••88C,Sales,Account Executive,MONTHLY,SALARY,44100.00,,,A,,,,2019-01-03,,CUMULATIVE,5000.00,44000.00,ORDINARY,495.00,
E0132,Orla,Clarke,••••••9EA,Customer Service,Senior Agent,WEEKLY,HOURLY,,18.1400,39.00,A,OCCUPATIONAL,0.0300,0.0600,2015-06-09,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,
E0133,Brian,Nowak,••••••9MA,Marketing,Content Specialist,MONTHLY,SALARY,63400.00,,,A,OCCUPATIONAL,0.0500,0.0600,2022-11-15,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0134,Róisín,Dunne,••••••3NA,Administration,Administrator,MONTHLY,SALARY,36100.00,,,A,PRSA,0.0500,0.0500,2023-12-24,,CUMULATIVE,5000.00,44000.00,ORDINARY,585.00,MEDICAL_INSURANCE
E0135,Priya,Wilson,•••••69L,Customer Service,Senior Agent,WEEKLY,HOURLY,,14.8900,20.00,A,,,,2014-12-27,,CUMULATIVE,6000.00,53000.00,ORDINARY,585.00,
E0136,Tomasz,Brown,••••••8EA,Marketing,Content Specialist,MONTHLY,SALARY,65400.00,,,A,OCCUPATIONAL,0.0600,0.0300,2023-05-22,,CUMULATIVE,6000.00,53000.00,ORDINARY,225.00,MEDICAL_INSURANCE
E0137,Pádraig,Silva,•••••86U,Customer Service,Senior Agent,WEEKLY,HOURLY,,16.3800,39.00,A,,,,2024-05-07,,CUMULATIVE,4000.00,44000.00,ORDINARY,495.00,MEDICAL_INSURANCE
E0138,Éabha,Johnston,•••••12D,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,15.6400,39.00,A,PRSA,0.0500,0.0300,2022-06-25,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,
E0139,Fionn,Farrell,•••••81B,Sales,Sales Representative,MONTHLY,SALARY,70400.00,,,A,,,,2022-05-16,,WEEK1_MONTH1,4000.00,44000.00,ORDINARY,1035.00,COMPANY_CAR
E0140,Pádraig,Johnston,••••••8QA,Operations,Logistics Coordinator,MONTHLY,SALARY,52000.00,,,A,PRSA,0.0300,0.0300,2021-04-02,,WEEK1_MONTH1,4000.00,44000.00,ORDINARY,0.00,
E0141,Siobhán,Walsh,•••••50R,IT,Data Analyst,MONTHLY,SALARY,79000.00,,,A,OCCUPATIONAL,0.0600,0.0500,2022-07-27,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0142,Eoin,Nowak,••••••7FA,Sales,Account Executive,MONTHLY,SALARY,46700.00,,,A,,,,2013-12-19,2026-03-12,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,
E0143,Chloe,Doyle,•••••36M,Operations,Operations Associate,MONTHLY,SALARY,35200.00,,,A,,,,2020-03-04,2026-07-20,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,
E0144,Lucas,Smith,••••••1TA,Sales,Account Executive,MONTHLY,SALARY,50000.00,,,A,,,,2016-11-03,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,
E0145,Aisling,Kowalski,•••••47E,Finance,Financial Analyst,MONTHLY,SALARY,79800.00,,,A,OCCUPATIONAL,0.0300,0.0300,2023-11-14,,CUMULATIVE,6000.00,53000.00,ORDINARY,675.00,
E0146,Eoin,Daly,•••••78D,IT,Software Engineer,MONTHLY,SALARY,89000.00,,,A,OCCUPATIONAL,0.0500,0.0600,2020-09-16,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0147,Niamh,Kowalski,•••••77O,Sales,Sales Representative,MONTHLY,SALARY,67600.00,,,A,PRSA,0.0800,0.0300,2024-08-08,,CUMULATIVE,4000.00,44000.00,ORDINARY,405.00,
E0148,Méabh,O'Neill,••••••1PA,Management,Head of Department,MONTHLY,SALARY,144300.00,,,A,OCCUPATIONAL,0.0600,0.0500,2017-06-16,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0149,Aoibhinn,Keane,•••••86W,IT,Support Engineer,MONTHLY,SALARY,80600.00,,,A,OCCUPATIONAL,0.0500,0.0300,2014-03-21,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,
E0150,Tadhg,Johnston,•••••10N,Marketing,Content Specialist,MONTHLY,SALARY,46700.00,,,A,,,,2023-11-11,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0151,Cian,Martin,••••••7RA,Sales,Account Executive,MONTHLY,SALARY,54100.00,,,A,OCCUPATIONAL,0.0500,0.0600,2025-01-25,,CUMULATIVE,6000.00,53000.00,ORDINARY,675.00,
E0152,David,Daly,••••••8RA,Sales,Sales Representative,MONTHLY,SALARY,56400.00,,,A,OCCUPATIONAL,0.0500,0.0600,2022-04-23,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0153,Oisín,Flynn,•••••90P,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,19.1000,30.00,A,OCCUPATIONAL,0.0500,0.0500,2015-08-26,,CUMULATIVE,4000.00,35000.00,ORDINARY,585.00,MEDICAL_INSURANCE
E0154,Lucas,O'Reilly,•••••88B,Operations,Team Lead,MONTHLY,SALARY,45300.00,,,A,,,,2025-03-21,,CUMULATIVE,4000.00,44000.00,ORDINARY,675.00,MEDICAL_INSURANCE
E0155,Eoin,Brown,••••••3DA,IT,Software Engineer,MONTHLY,SALARY,75800.00,,,A,PRSA,0.0500,0.0500,2013-02-18,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0156,Siobhán,Connell,••••••1AA,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,19.2600,20.00,A,OCCUPATIONAL,0.0500,0.0500,2019-07-19,,CUMULATIVE,4000.00,44000.00,EXEMPT,315.00,MEDICAL_INSURANCE
E0157,Grace,Byrne,••••••9RA,Operations,Operations Associate,MONTHLY,SALARY,47900.00,,,A,OCCUPATIONAL,0.0600,0.0500,2023-11-07,,CUMULATIVE,4000.00,44000.00,ORDINARY,225.00,
E0158,Emma,Silva,••••••2SA,Sales,Sales Representative,MONTHLY,SALARY,60600.00,,,A,OCCUPATIONAL,0.0500,0.0500,2015-10-05,,CUMULATIVE,4000.00,44000.00,ORDINARY,675.00,
E0159,Róisín,Keane,•••••29D,Operations,Logistics Coordinator,MONTHLY,SALARY,50500.00,,,A,OCCUPATIONAL,0.0600,0.0300,2015-07-23,,CUMULATIVE,4000.00,44000.00,ORDINARY,585.00,
E0160,Laura,Daly,••••••7PA,Sales,Sales Representative,MONTHLY,SALARY,50400.00,,,A,OCCUPATIONAL,0.0800,0.0300,2016-09-28,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,
E0161,Orla,O'Reilly,•••••96D,Customer Service,Senior Agent,WEEKLY,HOURLY,,17.6400,39.00,A,OCCUPATIONAL,0.0500,0.0500,2013-07-20,,CUMULATIVE,6000.00,53000.00,ORDINARY,495.00,
E0162,Mark,Walsh,••••••1TA,Operations,Operations Associate,MONTHLY,SALARY,34900.00,,,A,OCCUPATIONAL,0.0600,0.0500,2023-04-22,,CUMULATIVE,4000.00,44000.00,ORDINARY,585.00,
E0163,Mateus,Nagle,••••••2MA,Customer Service,Senior Agent,WEEKLY,HOURLY,,19.0100,30.00,A,OCCUPATIONAL,0.0600,0.0500,2017-06-28,,WEEK1_MONTH1,4000.00,44000.00,ORDINARY,0.00,
E0164,Mark,Daly,•••••93B,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,16.2600,39.00,A,,,,2019-09-01,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,
E0165,Lucas,Burke,••••••1AA,IT,Support Engineer,MONTHLY,SALARY,68100.00,,,A,PRSA,0.0300,0.0300,2016-05-21,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0166,Eoin,Smith,••••••0RA,IT,DevOps Engineer,MONTHLY,SALARY,93100.00,,,A,,,,2015-06-14,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,MEDICAL_INSURANCE
E0167,Mateus,Moore,••••••4HA,IT,Data Analyst,MONTHLY,SALARY,109700.00,,,J,OCCUPATIONAL,0.0500,0.0300,2022-04-16,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0168,Declan,Farrell,•••••05N,Sales,Account Executive,MONTHLY,SALARY,49600.00,,,A,OCCUPATIONAL,0.0600,0.0600,2021-03-12,,CUMULATIVE,4000.00,44000.00,ORDINARY,495.00,COMPANY_CAR
E0169,Rory,Daly,••••••4IA,IT,DevOps Engineer,MONTHLY,SALARY,87500.00,,,A,,,,2017-12-15,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0170,Niamh,O'Connor,•••••18M,Marketing,Marketing Executive,MONTHLY,SALARY,54800.00,,,A,PRSA,0.0600,0.0600,2020-11-16,,CUMULATIVE,4000.00,44000.00,ORDINARY,90.00,
E0171,Tadhg,O'Sullivan,••••••9VA,Marketing,Marketing Executive,MONTHLY,SALARY,74500.00,,,A,OCCUPATIONAL,0.0800,0.0500,2022-08-27,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0172,Ronan,O'Reilly,••••••6FA,IT,DevOps Engineer,MONTHLY,SALARY,114200.00,,,J,OCCUPATIONAL,0.0600,0.0600,2023-02-25,,CUMULATIVE,4000.00,44000.00,ORDINARY,585.00,
E0173,Méabh,McLoughlin,•••••04P,Administration,Administrator,MONTHLY,SALARY,37300.00,,,A,,,,2019-07-01,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,
E0174,Rahul,Kowalski,•••••79E,Administration,Receptionist,MONTHLY,SALARY,31300.00,,,A,OCCUPATIONAL,0.0500,0.0500,2024-05-03,,CUMULATIVE,4000.00,44000.00,ORDINARY,675.00,
E0175,Sinéad,Brennan,•••••79V,Administration,Receptionist,MONTHLY,SALARY,34900.00,,,A,OCCUPATIONAL,0.0800,0.0500,2012-05-17,2026-07-19,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0176,Emma,Nowak,•••••65N,Sales,Sales Representative,MONTHLY,SALARY,45700.00,,,A,OCCUPATIONAL,0.0500,0.0300,2022-10-07,,,,,,,
E0177,Seán,Silva,•••••24K,Operations,Operations Associate,MONTHLY,SALARY,31800.00,,,A,PRSA,0.0500,0.0300,2025-04-07,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0178,Ronan,Nowak,••••••6UA,Customer Service,Senior Agent,WEEKLY,HOURLY,,18.7900,30.00,A,OCCUPATIONAL,0.0800,0.0600,2021-11-17,2026-04-02,CUMULATIVE,4000.00,44000.00,ORDINARY,90.00,MEDICAL_INSURANCE
E0179,Katie,Johnston,••••••5CA,Sales,Sales Representative,MONTHLY,SALARY,70900.00,,,A,,,,2012-01-08,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,COMPANY_CAR
E0180,Sarah,Moore,•••••32C,Marketing,Marketing Executive,MONTHLY,SALARY,71100.00,,,A,PRSA,0.0800,0.0600,2018-04-19,,WEEK1_MONTH1,4000.00,44000.00,ORDINARY,315.00,MEDICAL_INSURANCE
E0181,Rahul,Brown,••••••0WA,Administration,Administrator,MONTHLY,SALARY,39000.00,,,A,OCCUPATIONAL,0.0500,0.0600,2019-12-27,,CUMULATIVE,4000.00,44000.00,ORDINARY,405.00,
E0182,Lucas,Clarke,••••••2TA,Sales,Sales Representative,MONTHLY,SALARY,52000.00,,,A,OCCUPATIONAL,0.0500,0.0500,2015-01-14,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0183,Eoin,Moore,••••••4TA,Sales,Sales Representative,MONTHLY,SALARY,49000.00,,,A,,,,2012-04-17,,CUMULATIVE,4000.00,44000.00,ORDINARY,585.00,
E0184,Brian,Keane,•••••45N,HR,HR Generalist,MONTHLY,SALARY,57600.00,,,A,OCCUPATIONAL,0.0800,0.0600,2014-07-14,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,
E0185,Aoife,Nolan,•••••12V,Sales,Sales Representative,MONTHLY,SALARY,68800.00,,,A,OCCUPATIONAL,0.0800,0.0500,2025-03-06,,CUMULATIVE,4000.00,35000.00,ORDINARY,585.00,COMPANY_CAR;MEDICAL_INSURANCE
E0186,Fionn,Doyle,•••••10V,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,17.2100,20.00,A,OCCUPATIONAL,0.0800,0.0500,2014-01-21,,CUMULATIVE,4000.00,44000.00,EXEMPT,0.00,
E0187,David,Keane,•••••90A,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,16.4300,39.00,A,PRSA,0.0800,0.0500,2019-03-04,,CUMULATIVE,4000.00,44000.00,ORDINARY,495.00,
E0188,Mark,Flynn,••••••5RA,Sales,Account Executive,MONTHLY,SALARY,47800.00,,,A,OCCUPATIONAL,0.0800,0.0600,2026-02-15,,CUMULATIVE,4000.00,44000.00,ORDINARY,90.00,COMPANY_CAR
E0189,Mark,Farrell,••••••4EA,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,18.4300,39.00,A,OCCUPATIONAL,0.0500,0.0300,2014-08-05,,CUMULATIVE,4000.00,44000.00,ORDINARY,675.00,
E0190,Méabh,Hughes,••••••7DA,Operations,Logistics Coordinator,MONTHLY,SALARY,48400.00,,,A,,,,2024-05-23,,CUMULATIVE,4000.00,44000.00,ORDINARY,585.00,
E0191,Aoife,Moore,•••••76I,IT,Software Engineer,MONTHLY,SALARY,74100.00,,,A,PRSA,0.0500,0.0300,2025-09-10,,CUMULATIVE,4000.00,35000.00,ORDINARY,225.00,
E0192,Priya,O'Neill,••••••5FA,Operations,Team Lead,MONTHLY,SALARY,36600.00,,,A,OCCUPATIONAL,0.0800,0.0500,2013-05-05,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,MEDICAL_INSURANCE
E0193,David,O'Connor,••••••1SA,HR,HR Generalist,MONTHLY,SALARY,49200.00,,,A,,,,2021-10-21,,CUMULATIVE,4000.00,44000.00,ORDINARY,675.00,
E0194,Adam,O'Reilly,••••••5VA,IT,Support Engineer,MONTHLY,SALARY,58500.00,,,A,OCCUPATIONAL,0.0500,0.0600,2023-11-11,,CUMULATIVE,4000.00,44000.00,ORDINARY,405.00,
E0195,Ronan,Nowak,•••••83O,IT,Software Engineer,MONTHLY,SALARY,79800.00,,,A,PRSA,0.0300,0.0500,2019-07-03,,CUMULATIVE,4000.00,44000.00,ORDINARY,675.00,
E0196,Lucas,Brown,••••••4BA,Customer Service,Senior Agent,WEEKLY,HOURLY,,15.7500,39.00,A,,,,2022-11-02,,CUMULATIVE,4000.00,44000.00,ORDINARY,675.00,
E0197,Declan,Martin,••••••3GA,Management,Director,MONTHLY,SALARY,124800.00,,,S,OCCUPATIONAL,0.0600,0.0300,2016-01-12,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,
E0198,Adam,Johnston,•••••96Q,HR,Recruiter,MONTHLY,SALARY,50200.00,,,A,PRSA,0.0300,0.0600,2012-03-24,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,
E0199,Tadhg,Nolan,•••••78G,Administration,Administrator,MONTHLY,SALARY,38900.00,,,A,PRSA,0.0500,0.0600,2012-10-16,,CUMULATIVE,4000.00,44000.00,ORDINARY,495.00,MEDICAL_INSURANCE
E0200,David,Walsh,•••••79F,Sales,Sales Representative,MONTHLY,SALARY,54300.00,,,A,OCCUPATIONAL,0.0500,0.0500,2024-05-10,,CUMULATIVE,6000.00,53000.00,ORDINARY,315.00,COMPANY_CAR;MEDICAL_INSURANCE
E0201,Ronan,Burke,•••••66F,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,14.4400,39.00,A,,,,2019-03-26,,CUMULATIVE,4000.00,44000.00,ORDINARY,585.00,MEDICAL_INSURANCE
E0202,Liam,Nolan,••••••1AA,IT,Support Engineer,MONTHLY,SALARY,92000.00,,,A,PRSA,0.0600,0.0500,2019-05-05,,CUMULATIVE,6000.00,53000.00,ORDINARY,90.00,
E0203,Aoibhinn,Quinn,•••••75H,Sales,Sales Representative,MONTHLY,SALARY,58600.00,,,A,PRSA,0.0500,0.0600,2017-09-01,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,
E0204,Saoirse,Connell,••••••1QA,Sales,Sales Representative,MONTHLY,SALARY,76000.00,,,A,OCCUPATIONAL,0.0300,0.0500,2014-05-10,,CUMULATIVE,4000.00,44000.00,ORDINARY,585.00,
E0205,Niamh,Nowak,•••••72Q,Customer Service,Senior Agent,WEEKLY,HOURLY,,18.9900,20.00,A,OCCUPATIONAL,0.0600,0.0500,2013-08-23,,CUMULATIVE,6000.00,53000.00,EXEMPT,405.00,
E0206,Aisling,Fitzgerald,•••••74K,Management,Head of Department,MONTHLY,SALARY,142800.00,,,A,,,,2020-06-11,,WEEK1_MONTH1,4000.00,44000.00,ORDINARY,0.00,MEDICAL_INSURANCE
E0207,Eoin,Ryan,•••••05E,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,14.9500,20.00,A,OCCUPATIONAL,0.0300,0.0600,2018-02-26,,CUMULATIVE,5000.00,44000.00,ORDINARY,0.00,MEDICAL_INSURANCE
E0208,Clodagh,Brennan,•••••93J,Finance,Accounts Payable Clerk,MONTHLY,SALARY,87900.00,,,A,OCCUPATIONAL,0.0500,0.0300,2025-02-15,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0209,Aoife,Murphy,•••••07N,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,16.3800,30.00,A,,,,2020-03-15,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0210,Tadhg,Byrne,•••••33L,Marketing,Content Specialist,MONTHLY,SALARY,54300.00,,,A,,,,2023-08-20,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0211,Éabha,Walsh,•••••70K,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,16.9000,39.00,A,,,,2014-11-02,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,
E0212,Grace,Gallagher,••••••0OA,Administration,Receptionist,MONTHLY,SALARY,32400.00,,,A,,,,2015-02-08,,,,,,,
E0213,Mateus,Nolan,•••••49P,IT,Data Analyst,MONTHLY,SALARY,55600.00,,,A,,,,2021-01-09,,,,,,,
E0214,Niamh,O'Sullivan,••••••0KA,Sales,Sales Representative,MONTHLY,SALARY,55700.00,,,A,OCCUPATIONAL,0.0600,0.0500,2023-07-24,,WEEK1_MONTH1,4000.00,44000.00,ORDINARY,1035.00,COMPANY_CAR;MEDICAL_INSURANCE
E0215,Tadhg,O'Sullivan,••••••6MA,Operations,Logistics Coordinator,MONTHLY,SALARY,43700.00,,,A,OCCUPATIONAL,0.0800,0.0500,2026-05-15,,CUMULATIVE,5000.00,44000.00,ORDINARY,0.00,
E0216,Éabha,O'Doherty,•••••17Q,Marketing,Content Specialist,MONTHLY,SALARY,60600.00,,,A,OCCUPATIONAL,0.0500,0.0500,2022-09-23,,CUMULATIVE,6000.00,53000.00,ORDINARY,585.00,
E0217,Siobhán,Byrne,••••••2SA,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,16.8100,39.00,A,OCCUPATIONAL,0.0500,0.0500,2021-06-26,,CUMULATIVE,4000.00,44000.00,ORDINARY,495.00,
E0218,Adam,Moore,••••••7HA,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,15.3600,39.00,A,,,,2013-01-28,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0219,Jack,Lynch,•••••59Q,IT,Support Engineer,MONTHLY,SALARY,86000.00,,,A,,,,2016-03-06,,CUMULATIVE,4000.00,44000.00,ORDINARY,585.00,
E0220,David,Keane,•••••49U,Operations,Logistics Coordinator,MONTHLY,SALARY,52100.00,,,A,PRSA,0.0300,0.0500,2024-03-15,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,MEDICAL_INSURANCE
E0221,Ciarán,McLoughlin,•••••86O,Finance,Financial Analyst,MONTHLY,SALARY,81100.00,,,A,OCCUPATIONAL,0.0600,0.0500,2020-04-26,,CUMULATIVE,4000.00,44000.00,ORDINARY,495.00,
E0222,Zofia,Campbell,•••••12F,Administration,Receptionist,MONTHLY,SALARY,31500.00,,,A,OCCUPATIONAL,0.0600,0.0300,2019-12-14,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,
E0223,Laura,Moore,•••••00O,IT,DevOps Engineer,MONTHLY,SALARY,61500.00,,,A,,,,2019-01-27,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,
E0224,Grace,McLoughlin,•••••42N,Sales,Sales Representative,MONTHLY,SALARY,39200.00,,,A,OCCUPATIONAL,0.0300,0.0500,2021-07-28,,CUMULATIVE,6000.00,53000.00,ORDINARY,315.00,COMPANY_CAR
E0225,Fionn,Carroll,••••••5LA,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,16.8400,39.00,A,,,,2022-12-23,,CUMULATIVE,4000.00,44000.00,ORDINARY,585.00,
E0226,Aisling,Horgan,••••••8DA,Customer Service,Senior Agent,WEEKLY,HOURLY,,14.8400,39.00,A,,,,2013-02-27,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0227,Siobhán,Moore,•••••14K,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,15.2500,39.00,A,OCCUPATIONAL,0.0300,0.0300,2024-08-25,,CUMULATIVE,4000.00,35000.00,ORDINARY,0.00,MEDICAL_INSURANCE
E0228,Aoibhinn,Byrne,•••••28L,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,17.8900,39.00,A,OCCUPATIONAL,0.0500,0.0500,2020-10-03,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,
E0229,Shane,Burke,••••••7KA,HR,HR Generalist,MONTHLY,SALARY,75500.00,,,A,OCCUPATIONAL,0.0600,0.0600,2019-06-23,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0230,Emma,O'Doherty,••••••3CA,Operations,Logistics Coordinator,MONTHLY,SALARY,44100.00,,,A,,,,2013-02-05,,CUMULATIVE,4000.00,44000.00,ORDINARY,405.00,
E0231,Aisling,Connell,•••••17N,Management,Director,MONTHLY,SALARY,147500.00,,,A,,,,2024-08-04,,CUMULATIVE,4000.00,44000.00,ORDINARY,585.00,
E0232,Mark,Nowak,•••••00F,Operations,Logistics Coordinator,MONTHLY,SALARY,35700.00,,,A,,,,2024-01-14,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,
E0233,Tomasz,O'Sullivan,•••••50Q,Sales,Account Executive,MONTHLY,SALARY,37100.00,,,A,,,,2025-03-17,,CUMULATIVE,4000.00,44000.00,ORDINARY,675.00,COMPANY_CAR
E0234,Declan,Campbell,•••••64D,HR,HR Generalist,MONTHLY,SALARY,51000.00,,,A,OCCUPATIONAL,0.0300,0.0600,2016-02-11,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,
E0235,Sinéad,Nolan,••••••9GA,IT,Software Engineer,MONTHLY,SALARY,68800.00,,,A,PRSA,0.0600,0.0500,2015-08-21,,CUMULATIVE,4000.00,44000.00,ORDINARY,225.00,
E0236,Ronan,Nagle,•••••97F,Operations,Logistics Coordinator,MONTHLY,SALARY,53600.00,,,A,,,,2018-07-09,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,MEDICAL_INSURANCE
E0237,Grace,McCarthy,•••••63M,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,16.7500,30.00,A,OCCUPATIONAL,0.0500,0.0300,2025-02-21,,CUMULATIVE,6000.00,53000.00,ORDINARY,585.00,
E0238,Katie,Ryan,•••••16J,IT,Software Engineer,MONTHLY,SALARY,65200.00,,,A,,,,2024-01-02,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,
E0239,Declan,Ryan,••••••7LA,Sales,Sales Representative,MONTHLY,SALARY,60900.00,,,A,,,,2015-07-07,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,
E0240,Jack,Connell,•••••51B,Marketing,Marketing Executive,MONTHLY,SALARY,43400.00,,,A,,,,2023-11-26,,CUMULATIVE,4000.00,35000.00,ORDINARY,1035.00,
E0241,Fionn,Maguire,••••••1KA,Operations,Team Lead,MONTHLY,SALARY,46200.00,,,A,,,,2013-08-16,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0242,Aisling,Sharma,••••••2RA,Finance,Financial Analyst,MONTHLY,SALARY,47800.00,,,A,OCCUPATIONAL,0.0600,0.0600,2017-10-03,,CUMULATIVE,5000.00,44000.00,ORDINARY,90.00,
E0243,Brian,Hughes,•••••91V,Administration,Receptionist,MONTHLY,SALARY,33600.00,,,A,OCCUPATIONAL,0.0500,0.0600,2023-03-02,,CUMULATIVE,5000.00,44000.00,ORDINARY,225.00,
E0244,Patrick,O'Connor,•••••71P,Customer Service,Senior Agent,WEEKLY,HOURLY,,17.9400,20.00,A,OCCUPATIONAL,0.0800,0.0300,2018-03-01,,CUMULATIVE,4000.00,44000.00,ORDINARY,675.00,MEDICAL_INSURANCE
E0245,Pádraig,Clarke,•••••24N,Customer Service,Senior Agent,WEEKLY,HOURLY,,15.8500,20.00,A,OCCUPATIONAL,0.0300,0.0500,2020-10-13,,CUMULATIVE,4000.00,44000.00,EXEMPT,0.00,MEDICAL_INSURANCE
E0246,Saoirse,O'Doherty,•••••03N,Operations,Operations Associate,MONTHLY,SALARY,36400.00,,,A,OCCUPATIONAL,0.0600,0.0300,2024-05-17,,,,,,,
E0247,Tomasz,Murphy,•••••49U,Sales,Account Executive,MONTHLY,SALARY,64400.00,,,A,,,,2025-12-28,,,,,,,MEDICAL_INSURANCE
E0248,Conor,Keane,••••••0NA,HR,HR Generalist,MONTHLY,SALARY,49500.00,,,A,OCCUPATIONAL,0.0800,0.0600,2026-05-27,,CUMULATIVE,4000.00,44000.00,ORDINARY,405.00,
E0249,Ciarán,Burke,•••••15L,IT,DevOps Engineer,MONTHLY,SALARY,80200.00,,,A,OCCUPATIONAL,0.0500,0.0600,2024-11-05,,CUMULATIVE,4000.00,44000.00,ORDINARY,495.00,
E0250,Shane,Moore,•••••42E,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,17.1900,20.00,A,OCCUPATIONAL,0.0800,0.0300,2014-08-17,,CUMULATIVE,4000.00,44000.00,ORDINARY,315.00,
E0251,Ronan,Burke,••••••9DA,IT,Support Engineer,MONTHLY,SALARY,61900.00,,,A,,,,2013-12-22,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0252,Orla,O'Connor,••••••6IA,Finance,Accountant,MONTHLY,SALARY,75300.00,,,A,,,,2022-08-15,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0253,Jack,Martin,•••••77W,IT,Data Analyst,MONTHLY,SALARY,94000.00,,,A,OCCUPATIONAL,0.0300,0.0300,2013-05-25,,CUMULATIVE,4000.00,44000.00,ORDINARY,675.00,
E0254,Mark,Smith,••••••9AA,Sales,Sales Representative,MONTHLY,SALARY,54600.00,,,A,,,,2019-07-16,,CUMULATIVE,4000.00,44000.00,ORDINARY,675.00,COMPANY_CAR
